48.5846 	INFO 	Loaded monitor calibration from ['2025_01_16 16:08']
50.6874 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001595359A3E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001595359A380>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001595367D210>, multiSample=False, name='window1', numSamples=2, pos=[880.0, 400.0], screen=0, size=array([800, 800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
50.6875 	EXP 	window1: backgroundImage = ''
50.6875 	EXP 	window1: backgroundFit = 'none'
50.7613 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
50.7613 	EXP 	window1: recordFrameIntervals = False
50.9379 	EXP 	window1: recordFrameIntervals = True
51.1228 	EXP 	Screen (0) actual frame rate measured at 59.65Hz
51.1228 	EXP 	window1: recordFrameIntervals = False
51.2308 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
56.5018 	INFO 	keyboard.Keyboard is using iohub backend.
56.5018 	EXP 	seizuremachine: status = STARTED
