7.2627 	INFO 	Loaded monitor calibration from ['2025_01_16 16:08']
7.6494 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022207AFBE50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022207AFBDF0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022207BDD1E0>, multiSample=False, name='window1', numSamples=2, pos=[880.0, 400.0], screen=0, size=array([800, 800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.6494 	EXP 	window1: backgroundImage = ''
7.6495 	EXP 	window1: backgroundFit = 'none'
7.7157 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.7157 	EXP 	window1: recordFrameIntervals = False
7.8950 	EXP 	window1: recordFrameIntervals = True
8.0773 	EXP 	Screen (0) actual frame rate measured at 60.52Hz
8.0774 	EXP 	window1: recordFrameIntervals = False
8.0863 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
11.7251 	INFO 	keyboard.Keyboard is using iohub backend.
11.7252 	EXP 	seizuremachine: status = STARTED
11.7304 	EXP 	Created cursor = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-10.0, draggable=False, fillColor=array([ 1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([ 1., -1., -1.]), interpolate=True, lineColor=array([ 1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([ 1., -1., -1.]), lineWidth=1.0, name='cursor', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.0125, 0.0125]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
